id,start_block,end_block,arena_type,round_interval,required_medal_count,total_prize,battle_ticket_policy_id,refresh_ticket_policy_id,created_at,updated_at,prize_detail_url,season_group_id
1,4865045,4875845,1,2700,0,75,1,1,,,,12
2,4875846,4875945,0,100,0,0,2,2,,,,0
3,4875946,4886745,1,2700,0,75,1,1,,,,13
4,4886746,4886845,0,100,0,0,2,2,,,,0
5,4886846,4897645,1,2700,0,75,1,1,,,,14
6,4897646,4897745,0,100,0,0,2,2,,,,0
7,4897746,4908545,1,2700,0,75,1,1,,,,15
8,4908546,4908645,0,100,0,0,2,2,,,,0
9,4908646,4919445,1,2700,0,75,1,1,,,,16
10,4919446,4919545,0,100,0,0,2,2,,,,0
11,4919546,4930345,1,2700,0,75,1,1,,,,17
12,4930346,4930445,0,100,0,0,2,2,,,,0
13,4930446,4941245,1,2700,0,75,1,1,,,,18
14,4941246,4941345,0,100,0,0,2,2,,,,0
15,4941346,4952145,1,2700,0,75,1,1,,,,19
16,4952146,4952245,0,100,0,0,2,2,,,,0
17,4952246,4963045,1,2700,0,75,1,1,,,,20
18,4963046,4963145,0,100,0,0,2,2,,,,0
19,4963146,4973945,2,2700,0,75,1,1,,,,4
20,4973946,14973945,0,100,0,0,2,2,,,,0
